date,open,high,low,close,volume
2023-12-21,0.27259,0.28227,0.22087,0.22146,1964000.0
2023-12-22,0.22286,0.24925,0.1237,0.24473,3750062.0
2023-12-23,0.23065,0.23743,0.14028,0.14415,3665648.0
2023-12-24,0.14,0.26621,0.12786,0.19577,2833186.0
2023-12-25,0.19698,0.20298,0.123,0.17257,2565747.0
2023-12-26,0.17543,0.19234,0.12934,0.18205,2047558.0
2023-12-27,0.17813,0.19962,0.13483,0.18776,1736149.0
2023-12-28,0.18297,0.224,0.16563,0.17577,5267129.0
2023-12-29,0.17821,0.19622,0.14603,0.166,2783021.0
2023-12-30,0.16656,0.18673,0.14277,0.153,2322550.0
2023-12-31,0.15366,0.17222,0.14966,0.17222,2001390.0
2024-01-01,0.17444,0.1825,0.13,0.14076,2396664.0
2024-01-02,0.15095,0.15095,0.067678,0.087386,9187433.0
2024-01-03,0.087227,0.14223,0.087227,0.13565,3681691.0
2024-01-04,0.13461,0.13503,0.097401,0.11608,1566163.0
2024-01-05,0.11601,0.11634,0.083008,0.093124,1878712.0
2024-01-06,0.093974,0.10203,0.085273,0.088408,953718.0
2024-01-07,0.090075,0.14008,0.066,0.1281,4427732.0
2024-01-08,0.12878,0.15395,0.097619,0.13016,3288265.0
2024-01-09,0.13083,0.25,0.10986,0.17755,3663974.0
2024-01-10,0.17061,0.3445,0.16243,0.28081,9835508.0
2024-01-11,0.28124,0.28941,0.18472,0.21603,9171365.0
2024-01-12,0.21389,0.28774,0.18484,0.27454,8350588.0
2024-01-13,0.27487,0.38942,0.24698,0.32222,11428070.0
2024-01-14,0.32661,0.385,0.18366,0.29222,11036861.0
2024-01-15,0.29196,0.34394,0.24904,0.29462,9751707.0
2024-01-16,0.29563,0.45789,0.2901,0.42992,7297451.0
2024-01-17,0.42819,0.55042,0.34928,0.36303,17026280.0
2024-01-18,0.35979,0.41836,0.32261,0.40236,18216236.0
2024-01-19,0.40277,0.41004,0.33116,0.33743,10417438.0
2024-01-20,0.33758,0.3477,0.2942,0.30324,14191524.0
2024-01-21,0.30206,0.30856,0.228,0.23388,24282689.0
2024-01-22,0.23335,0.28811,0.20682,0.28024,22098039.0
2024-01-23,0.28034,0.35863,0.27419,0.35032,19852020.0
